doi,refcodes,count,year,url,flags,name_dicts,compound_dicts
10.1134/S1070363221020183,['EPEDEL'],1,2021,https://link.springer.com/article/10.1134/S1070363221020183,1,{},{'9': ['trimethylstannyl-3-methyl-2-(phenylsulfonamido)butanoate']}
10.1134/S1070328419060010,"['GORJEF', 'GORJIJ']",2,2019,https://link.springer.com/article/10.1134/S1070328419060010,1,"{'I': '[Zn(H2O)4(C36H36N24O12)](NO3)2·6.5H2O', 'II': '[Zn(H2O)4-(C36H36N24O12)](NO3)2·7H2O', 'III': '[Co(H2O)4(C36H36N24O12)](NO3)2·7H2O'}",{}
10.1134/S1070363220100242,['EHODIR'],1,2020,https://link.springer.com/article/10.1134/S1070363220100242,1,{},{}
10.1134/S1070328421090086,"['RAFQUO', 'RAFRAV']",2,2021,https://link.springer.com/article/10.1134/S1070328421090086,1,"{'I': '[Mg(pQ)·2DMF]n', 'II': '[Mg(pQ)·2DMAA]n', 'III': '[Mg(pQ)·2(NMP)]n'}",{}
10.1134/S0022476620090139,"['SAJMAV', 'SAJMEZ']",2,2020,https://link.springer.com/article/10.1134/S0022476620090139,1,"{'1': '[Cu(333cptpy)2]n·2nH2O', '2': '[Cu(233cptpy)2(H2O)2]n', '2019': '(Baltimore)'}","{'H333cptpy': ['4′-(3-carboxyphenyl)-3,2′:6′,3″-terpyridine'], 'H233cptpy': ['4′-(2-carboxyphenyl)-3,2′:6′,3″-terpyridine']}"
10.1134/S0022476620080156,"['SAJLEY', 'SAJLIC']",2,2020,https://link.springer.com/article/10.1134/S0022476620080156,1,"{'1': '[Yb(Btca)(Idc)(H2O)]n', '2': '([Yb2(Thz)3·8H2O)]·H2O'}","{'HBtca': ['1H-benzo[d][1,2,3]triazole-5-carboxylic'], 'H3Idc': ['1H-imidazole-4,5-dicarboxylic'], 'H2Thz': ['thiazolo[5,4-d]thiazole-2,5-dicarboxylic']}"
10.1134/S1070328418090014,"['JIPFIA', 'JIPFOG']",2,2018,https://link.springer.com/article/10.1134/S1070328418090014,1,{'II': 'H2L'},"{'H2L': ['2,3-dioxo-5,6,14,15-dibenzo-1,4,8,12-tetraazacyclopentadeca-7,13-dien'], 'H2Nip': ['5-nit-roisophthalic']}"
10.1134/S1063774520060371,['EHIYAY'],1,2020,https://link.springer.com/article/10.1134/S1063774520060371,1,{'1': '{[Zn(L1)·(bpda)]·H2O}n'},{}
10.1134/s1070328419040067,['LOQKUA'],1,2019,https://link.springer.com/article/10.1134/s1070328419040067,1,{'II': '[Cu2(Piv)4(Dmpda)]n'},{}
10.1134/S1070328418120023,"['LOFGIZ', 'LOFGOF']",2,2018,https://link.springer.com/article/10.1134/S1070328418120023,1,"{'I': '[Ba(H2IDC)-(H3HmIDC)(H2O)2]n', 'II': '[Sr(H2HmIDC)]n'}",{}
10.1134/S0036023620070098,"['VUVJEE', 'VUVJII', 'VUVJOO']",3,2020,https://link.springer.com/article/10.1134/S0036023620070098,1,{'III': 'Ho(Htba)3·3H2O'},{'Н2tba': ['2-thiobarbituric']}
10.1134/S0022476620100169,['ENAZIF'],1,2020,https://link.springer.com/article/10.1134/S0022476620100169,1,{'2': '[{Tb4(OH)4(μ-ina)2(ina)2(H2O)4}{Re6Se8(CN)6}]·7.5H2O'},{}
10.1134/S0036023619090195,['QOWXUY'],1,2019,https://link.springer.com/article/10.1134/S0036023619090195,1,"{'III': 'Ph4SbOC(O)C6H4(OH-3)·Ph4SbOC(O)C6H4(OSbPh4-3)·РhСН3', '1': 'Ph4SbOC(O)C6H4(OH-3)', '2': 'Ph4SbOC(O)C6H4(OSbPh4-3)', 'b': 'III1a'}","{'II': ['1,4-cycloxexanedicarboxylate'], 'III': ['3-tetraphenylstiboxybenzoate'], 'IV': ['3-hydroxybenzoate']}"
10.1134/S1070363221080193,"['RAFVUT', 'RAFWAA']",2,2021,https://link.springer.com/article/10.1134/S1070363221080193,1,"{'1': '[Cd(H2L)(ip)H2O]n', '2': '[Cd(H2L)(Hbtc)]n'}","{'H2L': ['3-(1H-pyrazol-4-yl)-5-(pyridin-2-yl)-1,2,4-triazole'], 'H3btc': ['1,3,5-benzenetricarboxylic']}"
10.1134/S1070328421030015,"['EPATOH', 'EPATUN']",2,2021,https://link.springer.com/article/10.1134/S1070328421030015,1,"{'I': '[KCr-(Сpdc)2(H2O)2]n', 'II': '[Na4Cr(Cpdc)3(H2O)6(NO3)]n', 'III': '{[Li8Cr2-(Cpdc)8(H2O)5]·H2O}n'}",{}
10.1134/S1070328419120042,['IHUVUF'],1,2019,https://link.springer.com/article/10.1134/S1070328419120042,1,{'I': '[Cd2(NCS)4(2-Map)3]n'},{'I': ['[Cd2(NCS)4(2-Map)3]n']}
10.1134/S1063774519040187,"['QOWZEK', 'QOWZIO']",2,2019,https://link.springer.com/article/10.1134/S1063774519040187,1,"{'I': '[UO2(suc)(C2N4H4)2]·2H2O', 'II': '[UO2(Deaa)4(H2О)][(UO2)2(C4H4O4)3]·2Deaa', 'III': '[UO2(Urea)4(H2O)]·[(UO2)2(suc)3]·2Urea'}",{}
10.1134/S1070328418110064,"['ZIQGOY', 'ZIQGUE', 'ZIQHAL']",3,2018,https://link.springer.com/article/10.1134/S1070328418110064,1,"{'I': '[Dy(Terpy)-(H2O)3Fe(CN)6]·nH2O', 'II': '[Dy2(Terpy)2(H2O)3-(CO3)(NCS)Fe(CN)6]·4H2O', 'III': '[Dy2(Terpy)2(H2O)4(CO3)(NCS)Fe(CN)6]·11.4H2O', 'Ia': '[Dy(Terpy)(H2O)3Fe(CN)6]·4.8H2O'}",{}
10.1134/S1070328420120076,['EQEGAL'],1,2021,https://link.springer.com/article/10.1134/S1070328420120076,1,"{'I': '(H2Pydc),{Na3[Gd(Pydc)3]·2H2O}n', 'II': '[Er(HPydc)3]·10H2O'}",{}
10.1134/S0036023621090102,['RAFTEB'],1,2021,https://link.springer.com/article/10.1134/S0036023621090102,1,{'I': '{[Ba3(fur)6(Hfur)2(H2O)8]}n·4nH2O'},{}
10.1134/S1070328420060032,['VUWDEZ'],1,2020,https://link.springer.com/article/10.1134/S1070328420060032,1,"{'I': '[Cd(Abp)-(NO3)2(H2O)]n', 'II': '[Cd(NO3)2-(Abp)2(H2O)2]'}",{}
10.1134/S1070328420040090,"['VUPGAR', 'VUPGEV']",2,2020,https://link.springer.com/article/10.1134/S1070328420040090,1,"{'I': '[Er2(CuL)2-(Nipt)3(H2O)]·0.75H2O', 'II': '[Eu2(NiL)2-(Nipt)3(H2O)]·H2O'}","{'H2L': ['2,3-dioxo-5,6,14,15-dibenzo-1,4,8,12-tetraazacyclo-pentadeca-7,13-dien'], 'H2Nipt': ['5-nitroisophthalic']}"
10.1134/S1070328420040089,['VUPQOP'],1,2020,https://link.springer.com/article/10.1134/S1070328420040089,1,"{'I': '{[Cd6(m-CPhHIDC)4(2,2′-Bipy)6]·4H2O}n'}","{'I': ['{[Cd6(m-CPhHIDC)4(2,2′-Bipy)6]·4H2O}n'], 'Phen': ['1,10-phenanthroline']}"
10.1134/S1070328418120047,['LODQIH'],1,2018,https://link.springer.com/article/10.1134/S1070328418120047,1,"{'I': 'Ag3(4-Amba)2(NO3)2', 'II': 'Ag(4-AmbaH)NO3', 'III': 'Ag3(L)2(NO3)'}","{'I': ['Ag3(4-Amba)2(NO3)2'], 'II': ['Ag(4-AmbaH)NO3']}"
10.1134/S0022476621020153,"['EPELET', 'EPELIX']",2,2021,https://link.springer.com/article/10.1134/S0022476621020153,1,"{'1': '{[Ag2(4,4′-bipy)2][Ag2(P–SO3)4]·H2O}n', '2': '{[Ag(dpp)](P–SO3)·H2O}n', '2020': '75(6-7)b'}","{'1': ['{[Ag2(4,4′-bipy)2][Ag2(P–SO3)4]·H2O}n', '{[Ag(4,4′-bipy)][Ag(P–SO)]·HO}'], '4,4′-bipy': ['4,4′-bipyridine'], 'dpp': ['1,3-di(4-pyridyl)propane']}"
10.1134/S0036023620060042,['ZADPAZ'],1,2020,https://link.springer.com/article/10.1134/S0036023620060042,1,{},{}
10.1134/s1070328420060044,['WUSKUT'],1,2020,https://link.springer.com/article/10.1134/s1070328420060044,1,{'I': '[Hg3PrCl9(HIA)(IA)3]nnCl·2nH3O·4nH2O'},{}
10.1134/S0036023621070159,['HAFHOP'],1,2021,https://link.springer.com/article/10.1134/S0036023621070159,1,{'2': 'C6H5N2O6Zn'},{}
10.1134/S1070328419100038,['GORMEI'],1,2019,https://link.springer.com/article/10.1134/S1070328419100038,1,"{'I': '[Bi{S2CN(iso-C4H9)2}2(NO3)]', 'II': '[Bi{S2CN(C3H7)2}2Cl]'}","{'I': ['catena-poly[(μ2-nitrato-O,{O\',O""})bis(N,N-di-iso-butyldithiocarbamato-S,S\')bismuth(III)]'], 'II': [""catena-po-ly[(μ2-chloro)bis(N,N-dipropyldithiocarbamato-S,S')bis-muth(III)]""]}"
10.1134/S0022476620070136,['SUXXUH'],1,2020,https://link.springer.com/article/10.1134/S0022476620070136,1,{'1': '[Zn3(bibp)2(HCOO)6]·(H2O)2'},{}
10.1134/S0022476621060147,"['YAMPEL', 'YAMPIP', 'YAMPOV']",3,2021,https://link.springer.com/article/10.1134/S0022476621060147,1,"{'1': '(H2NMe2)[Li5Zn4(DMF)2(Hndc)2(ndc)6]·11DMF·2H2O', '3': '[Zn3(phen)3(btc)2]·DMF·3H2O', '2': '(H2NMe2)[LiZn(NO2-bdc)2]·0.5DMF·0.5H2O'}",{'2': ['(H2NMe2)[LiZn(NO2-bdc)2]·0.5DMF·0.5H2O']}
10.1134/S1063774520030347,['VUYMAG'],1,2020,https://link.springer.com/article/10.1134/S1063774520030347,1,{},"{'L1': ['bis(4-(1H-imidazol-1-yl)phenyl)methanone'], 'trans-H2CHDCA': ['trans-1,2-cyclohexanedicarboxylic']}"
