doi,refcodes,count,year,url,flags,name_dicts,compound_dicts
10.1038/s41467-018-05503-y,"['SIHJUR', 'SIHKAY', 'SIHKEC', 'SIHKIG', 'SIHKOM', 'SIHLAZ', 'SIJLOP']",7,2018,https://www.nature.com/articles/s41467-018-05503-y,1,{},"{'L2': ['4,4′-biphenyldicarboxylate'], 'L1': ['4,4′-bis(4-pyridyl)biphenyl']}"
10.1038/s41467-018-07414-4,['DISROP'],1,2018,https://www.nature.com/articles/s41467-018-07414-4,1,{},{}
10.1038/s41467-019-11565-3,"['JOWQUK', 'JOWREV']",2,2019,https://www.nature.com/articles/s41467-019-11565-3,1,{},{}
10.1038/ncomms7917,"['IGUTUB', 'IGUTUB01', 'IGUVAJ', 'IGUVAJ01', 'IGUVIR', 'IGUVIR01']",6,2015,https://www.nature.com/articles/ncomms7917,1,{'1': '[Cd(34pba)(44pba)]·DMF'},"{'bcu': ['8-connected'], 'Hniba': ['4-(1H-naphtho[2,3-d]imidazol-1-yl)benzoic']}"
10.1038/srep01149,['REWNEO01'],1,2013,https://www.nature.com/articles/srep01149,1,{},"{'BDC': ['1,3-benzenedicarboxylate']}"
10.1038/s41467-018-07458-6,['WODJUX'],1,2018,https://www.nature.com/articles/s41467-018-07458-6,1,{},"{'dobpdc4-': ['4,4′-dioxidobiphenyl-3,3′-dicarboxylate']}"
10.1038/s41467-019-14136-8,['SAKLUN01'],1,2020,https://www.nature.com/articles/s41467-019-14136-8,1,"{'HSPh-COOH': 'Cu(SPh-COOH)', 'HSPh-NH2': 'Ag(SPh-NH2)', 'HSPh-OCH3': 'Ag(SPh-OCH3)', 'HSPh-F': 'Ag(SPh-F)'}",{'HSPh-OH': ['4-Hydroxybenzenethiol']}
10.1038/ncomms9934,"['HAGSOY09', 'HAGSOY11']",2,2015,https://www.nature.com/articles/ncomms9934,1,{},{}
10.1038/s41467-017-00776-1,"['JEKYAC', 'JEKYAC01', 'JEKYAC02']",3,2017,https://www.nature.com/articles/s41467-017-00776-1,1,{},"{'bpac': ['1,2-bis(4′-pyridyl)acetylene'], 'bipytz': ['3,6-bis(4-pyridyl)-1,2,4,5-tetrazine'], 'ptz': ['1-propyltetrazole']}"
10.1038/s41467-018-04034-w,"['NOPCED', 'NOPCIH']",2,2018,https://www.nature.com/articles/s41467-018-04034-w,1,{},"{'BDC': ['1,4-benzenedicarboxylate']}"
10.1038/s41467-021-27929-7,"['FAWXOU', 'FAWXUA']",2,2022,https://www.nature.com/articles/s41467-021-27929-7,1,{},{}
10.1038/s41467-018-03650-w,"['GINYAG', 'GINYIO', 'GINYOU', 'GINYUA']",4,2018,https://www.nature.com/articles/s41467-018-03650-w,1,{},{}
10.1038/s41598-017-00733-4,"['YASVOG', 'YASVUM']",2,2017,https://www.nature.com/articles/s41598-017-00733-4,1,{},{}
10.1038/srep20672,['LACNUB'],1,2016,https://www.nature.com/articles/srep20672,1,{'UPC-21': '[Cu3(L)1.5(H2O)3]∙3DEF∙20H2O'},{}
10.1038/ncomms15369,"['BARLEO', 'BARMAL', 'BARMEP']",3,2017,https://www.nature.com/articles/ncomms15369,1,{},{}
