doi,refcodes,count,year,url,name_dicts,compound_dicts
10.1007/s11224-008-9330-y,['DOJHEQ'],1,2008,https://link.springer.com/article/10.1007/s11224-008-9330-y,"{'1': '[Nd2(abglyH)6(2,2′-bipy)2(H2O)2]·4H2O', '2': '{[Nd(abglyH)3(H2O)2]·(4,4′-bipy)·7H2O}n'}","{'1': ['[Nd2(abglyH)6(2,2′-bipy)2(H2O)2]·4H2O'], '2': ['{[Nd(abglyH)3(H2O)2]·(4,4′-bipy)·7H2O}n'], '2,2′-bipy': ['2,2′-bipyridine'], '4,4′-bipy': ['4,4′-bipyridine']}"
10.1007/s11224-008-9340-9,['DOJBEK'],1,2008,https://link.springer.com/article/10.1007/s11224-008-9340-9,{'1': '[Cd(C5H6N2)2(SeCN)2]n'},{}
10.1007/s11224-008-9341-8,['FEBMUV02'],1,2008,https://link.springer.com/article/10.1007/s11224-008-9341-8,"{'1': '[Zn(2,5-pydc)(H2O)3Zn(2,5-pydc)(H2O)2]2', '2': '[Zn(2,5-pydc)(H2O)2]·H2O'}","{'1': ['[Zn(2,5-pydc)(H2O)3Zn(2,5-pydc)(H2O)2]2'], '2': ['[Zn(2,5-pydc)(H2O)2]·H2O']}"
10.1007/s11224-008-9354-3,['NOQGIK'],1,2008,https://link.springer.com/article/10.1007/s11224-008-9354-3,{},{'2mpz': ['2-methylpyrazine']}
10.1007/s11224-008-9363-2,"['EGIRAO', 'EGIRES']",2,2008,https://link.springer.com/article/10.1007/s11224-008-9363-2,"{'1': '[Cd(cpoa)(o-pbim)]n', '2': '{[Cd3(cpoa)3(o-pbim)2]·2H2O}n'}","{'cpoa2−': ['4-carboxyphenoxy'], 'o-pbim': ['2-(2-pyridyl)benzimidazole'], 'H2biim': ['2,2′-biimidazole'], '1,4-bdc': ['1,4-benzenedicarboxylate']}"
10.1007/s11224-008-9371-2,['VOLTOG'],1,2008,https://link.springer.com/article/10.1007/s11224-008-9371-2,{},{}
10.1007/s11224-008-9375-y,"['NOQHAD', 'NOQHEH']",2,2008,https://link.springer.com/article/10.1007/s11224-008-9375-y,"{'1': '{[Cu4(BTM)6(OPA)4]·4DMF·3H2O}n', '2': '{[Cu(BDTM)(OH)](ClO4)·2H2O}n', '3': '[Cu(BDTM)(H2O)3](ClO4)2'}","{'BTM': ['bis(1,2,4-triazol-1-yl)methane'], 'BDTM': ['bis(3,5-dimethyl-1,2,4-triazol-1-yl)methane'], 'BPM': ['bis(1-pyrazolyl)methane']}"
10.1007/s11224-009-9417-0,['IHOVUX'],1,2009,https://link.springer.com/article/10.1007/s11224-009-9417-0,{},{}
10.1007/s11224-009-9418-z,"['BAKREK01', 'COXWUI', 'COXXAP']",3,2009,https://link.springer.com/article/10.1007/s11224-009-9418-z,{},"{'TCE': ['1,1,2,2-tetrachloroethane']}"
10.1007/s11224-009-9447-7,['QQQFUV03'],1,2009,https://link.springer.com/article/10.1007/s11224-009-9447-7,"{'1': 'α-[Mn(O2CMe)2]', '2': 'β-[Mn(O2CMe)2]'}",{}
10.1007/s11224-009-9475-3,['IHOSOO'],1,2009,https://link.springer.com/article/10.1007/s11224-009-9475-3,{},{}
10.1007/s11224-009-9486-0,"['IHOTUV', 'IHOVAD']",2,2009,https://link.springer.com/article/10.1007/s11224-009-9486-0,"{'1': '[CoL(bpp)]n', '2': '[MnL(bipy)]n·0.25nH2L·0.5nH2O'}","{'H2L': ['1,3-adamantanediacetic'], 'bpp': ['1,3-bis(4-pyridyl)propane'], 'bipy': ['4,4′-bipyridine']}"
