doi,refcodes,count,year,url,name_dicts,compound_dicts
10.1007/s00044-017-2002-y,['XELZIA'],1,2017,https://link.springer.com/article/10.1007/s00044-017-2002-y,"{'3': '3,5-dimethylpyrazole-1-(5methyl-1H-pyrazol-3-ylmethyl)-1H-pyrazole', '12': '[Cu(μ-Cl)2(Pyridine)2]n', '4': 'Cu(I)-complex', '6': 'Cd(II)-complex'}","{'3': ['3,5-dimethylpyrazole-1-(5methyl-1H-pyrazol-3-ylmethyl)-1H-pyrazole']}"
10.1007/s00216-019-01875-2,['YUBLIT'],1,2019,https://link.springer.com/article/10.1007/s00216-019-01875-2,{},{}
10.1007/s00269-015-0793-2,"['OKUTUL', 'OKUVAT']",2,2016,https://link.springer.com/article/10.1007/s00269-015-0793-2,{},{}
10.1007/s00269-017-0907-0,"['SEVKAI', 'SEVKEM']",2,2017,https://link.springer.com/article/10.1007/s00269-017-0907-0,{},{}
10.1007/s00339-018-1810-3,['UPECAU01'],1,2018,https://link.springer.com/article/10.1007/s00339-018-1810-3,{},{}
10.1007/s00604-019-3979-3,['DOXPAK'],1,2020,https://link.springer.com/article/10.1007/s00604-019-3979-3,{},{}
10.1007/s00604-021-04767-4,['PAKMIB'],1,2021,https://link.springer.com/article/10.1007/s00604-021-04767-4,{'1': '{[Mo(PDA)(NO)(μ-O)MoO3]·1.42H2O·0.58C2H5OH}n'},{}
10.1007/s00706-008-0102-6,['RUHDII'],1,2009,https://link.springer.com/article/10.1007/s00706-008-0102-6,{'1': '[C6H3CdN2O4]·NH4'},{}
10.1007/s00706-011-0578-3,['NASHOG'],1,2011,https://link.springer.com/article/10.1007/s00706-011-0578-3,"{'1': '{[Ni(O2CCH3)2(3-apy)2]·H2O}n', '2': '[Ni(O2CCH3)2(4-apy)2(H2O)2]'}","{'1': ['{[Ni(O2CCH3)2(3-apy)2]·H2O}n'], '2': ['[Ni(O2CCH3)2(4-apy)2(H2O)2]']}"
10.1007/s00706-011-0592-5,['NAVBIX'],1,2011,https://link.springer.com/article/10.1007/s00706-011-0592-5,{'1': '2H3O·[NaCd3(C14H8O4)3(C6H4N3)3]·5.5H2O'},{}
10.1007/s00706-012-0862-x,"['CIGCAY', 'CIGCEC']",2,2012,https://link.springer.com/article/10.1007/s00706-012-0862-x,"{'2': '[Ti2(OiPr)8(C10H26N4)]∞', '3': '[Zr2(OiPr)8(C10H26N4)]∞', '1': 'C10H26N4·2HCl'}",{}
10.1007/s00706-013-0922-x,"['HAMBOO01', 'ZIPYEE']",2,2013,https://link.springer.com/article/10.1007/s00706-013-0922-x,"{'1': 'Poly[[triaqua-4-hydroxypyridine-2,6-dicarboxylato-κ3(O3a,N1a,O4a)barium(II)]μ-aqua-μ3-4-hydroxypyridine-2,6-dicarboxylato-μ3-4-oxypyridine-2,6-dicarboxylato[triaqua-4-oxypyridine-2,6-dicarboxylato-κ2(O3b,O2b)barium(II)]dihydrate]', '2': '[[Cu(C7H2NO5)(C5H6N2)2]2Cu(C5H6N2)2(H2O)2]n·(6H2O)n'}","{'1': ['Poly[[triaqua-4-hydroxypyridine-2,6-dicarboxylato-κ3(O3a,N1a,O4a)barium(II)]μ-aqua-μ3-4-hydroxypyridine-2,6-dicarboxylato-μ3-4-oxypyridine-2,6-dicarboxylato[triaqua-4-oxypyridine-2,6-dicarboxylato-κ2(O3b,O2b)barium(II)]dihydrate]'], '2': ['Poly[[diaquabis(4-aminopyridinopyridine)copper(II)]-μ-4-hydroxypyridine-2,6-dicarboxylato[bis(4-aminopyridinopyridine)copper(II)]hexahydrate]']}"
10.1007/s00706-013-1037-0,['LOPTIV'],1,2013,https://link.springer.com/article/10.1007/s00706-013-1037-0,"{'1': '[Zn(phen)2(1,5-NDS)(H2O)]', '2': 'Catena-poly[[bis(1,10-phenanthroline)cadmium(II)]-μ2-1,5-naphthalenedisulfonate]'}","{'1': ['[Zn(phen)2(1,5-NDS)(H2O)]', 'Aquabis(1,10-phenanthroline)(1,5-naphthalenedisulfonate)zinc(II)'], '2': ['[Cd(phen)2(1,5-NDS)]n', 'Catena-poly[[bis(1,10-phenanthroline)cadmium(II)]-μ2-1,5-naphthalenedisulfonate]'], '1,5-NDS': ['1,5-naphthalenedisulfonate'], 'phen': ['1,10-phenanthroline']}"
10.1007/s00706-013-1092-6,['KIQHUN03'],1,2013,https://link.springer.com/article/10.1007/s00706-013-1092-6,{},"{'H2pydc': ['pyridine-2,3-dicarboxylic']}"
10.1007/s00706-014-1202-0,['LOPQIS'],1,2014,https://link.springer.com/article/10.1007/s00706-014-1202-0,"{'1': 'Poly[tetra(μ2-chloro)di(μ3-chloro)di(2,9-dimethyl-1,10-phenanthroline)-trilead][Pb3(dmp)2Cl6]n'}","{'1': ['Poly[tetra(μ2-chloro)di(μ3-chloro)di(2,9-dimethyl-1,10-phenanthroline)-trilead][Pb3(dmp)2Cl6]n']}"
10.1007/s00706-014-1245-2,['LOPRAL'],1,2014,https://link.springer.com/article/10.1007/s00706-014-1245-2,{'1': '[Ti(OiPr)3(OOCCH2CH2CH2C3N2H3)]n'},"{'1': ['4-(imidazol-1-yl)butanate'], 'DHP-H2': ['4,6-dihydroxypyrimidine']}"
10.1007/s00706-014-1289-3,['BOPWIO'],1,2014,https://link.springer.com/article/10.1007/s00706-014-1289-3,{'1': '[Ho2(PDA)3(H2O)]n·2nH2O'},{}
10.1007/s00706-014-1333-3,['NEVXAP01'],1,2014,https://link.springer.com/article/10.1007/s00706-014-1333-3,"{'1': '[Hg(μ-mptrz)2]n', '2': '{[H2en][Hg2(mptrz)4(μ-Br)2]}', '3': '{[H2en][Hg2(mptrz)4(μ-I)2]}'}","{'3': ['[di-μ-iodidotetrakis(4-methyl-1,2,4-triazole-3-thiolato-κS)dimercury(II)]'], 'DmptrzSS': ['4,4′-dimethyl-3,3′-dithiodi-1,2,4-triazole']}"
10.1007/s00706-014-1377-4,['KACPUC'],1,2014,https://link.springer.com/article/10.1007/s00706-014-1377-4,{'1': '[(1-mimH)[Nd(pydc)3Ca(pydcH2)(H2O)2]·4H2O]n'},"{'1': ['[(1-mimH)[Nd(pydc)3Ca(pydcH2)(H2O)2]·4H2O]n'], 'pydcH2': ['pyridine-2,6-dicarboxylic'], '1-mim': ['1-methylimidazole']}"
10.1007/s00706-015-1446-3,['PUZDEV'],1,2015,https://link.springer.com/article/10.1007/s00706-015-1446-3,{'1': '[Sm(µ-Hpzdc)(µ-pzdc)(H2O)3]n'},"{'1': ['Poly[(μ-3-carboxypyridine-2-carboxylato)(μ-2,3-pyridinedicarboxylate)samarium(III)]'], 'pzdc2−': ['pyarazine-2,3-dicarboxylate'], 'Hpzdc−': ['pyarazine-2,3-dicarboxylate']}"
10.1007/s00706-015-1509-5,"['ITEFEU', 'ITEFIY']",2,2015,https://link.springer.com/article/10.1007/s00706-015-1509-5,"{'1': '[Er(1,3-BDS)(HMA)(H2O)4]n', '2': '[Pr(1,3-BDS)(HMA)(H2O)4]n'}","{'1': ['[Er(1,3-BDS)(HMA)(H2O)4]n'], '2': ['[Pr(1,3-BDS)(HMA)(H2O)4]n'], '1,3-BDS': ['benzene-1,3-disulfonate', '1,3-benzenedisulfonate']}"
10.1007/s00706-018-2330-8,['GOPLUV'],1,2019,https://link.springer.com/article/10.1007/s00706-018-2330-8,"{'1': '{[Zn(Mnt–Mnt)(en)]·H2O}n', '2': '[Zn(Mnt–Mnt)(H2O)]'}",{}
10.1007/s00706-019-2366-4,"['POCKOK', 'POCKUQ', 'POCKUQ01', 'POCLAX']",4,2019,https://link.springer.com/article/10.1007/s00706-019-2366-4,"{'1a': '[Co(μ-dppeO2)Br2]n', '2': '[Co(μ-dppeO2)I2]n', '1b': '[Co(μ-dppeO)Br2]n', '1c': '{[Co(μ-dppeO)Br2][Co(μ-dppeO2)Br2]}n'}","{'dppeO2': ['1,2-bis(diphenylphosphino)ethane']}"
10.1007/s00706-020-02566-w,['PEQHOK01'],1,2020,https://link.springer.com/article/10.1007/s00706-020-02566-w,{'1': '[Co2(atrz)2(bdc)]·(DMF)(H2O)2'},{}
10.1007/s00706-020-02606-5,['PUQZIN'],1,2020,https://link.springer.com/article/10.1007/s00706-020-02606-5,{},"{'p-bdc': ['1,4-benzenedicarboxylic'], 'dfdp': ['4,4′-(2,5-difluoro-1,4-phenylene)dipyridine']}"
10.1007/s00710-012-0237-3,['YOJFUA'],1,2012,https://link.springer.com/article/10.1007/s00710-012-0237-3,"{'2': '[Ag(nia)2(NO3)]·H2O', '3': '{K[Ag(nia)2](NO3)2}n'}",{}
10.1007/s00775-007-0285-z,"['VIQYEA', 'VIQYIE', 'VIQZAX']",3,2007,https://link.springer.com/article/10.1007/s00775-007-0285-z,{},{}
10.1007/s00775-011-0864-x,['QAKJOE'],1,2011,https://link.springer.com/article/10.1007/s00775-011-0864-x,{},{}
10.1007/s00775-013-1052-y,"['WOHWAT', 'WOHWEX']",2,2013,https://link.springer.com/article/10.1007/s00775-013-1052-y,"{'1': '[Ag2(sac)2(μ-dppm)H2O]·H2O', '2': '{[Ag2(μ-sac)2(μ-dppe)]·3H2O·CH2Cl2}n', '3': '[Ag2(μ-sac)2(μ-dppp)]n', '4': '[Ag(sac)(μ-dppb)]n'}",{}
10.1007/s00775-018-1606-0,['YOXMIK'],1,2018,https://link.springer.com/article/10.1007/s00775-018-1606-0,{'1': '[ZnCl2(HPCIH)]'},{}
10.1007/s00775-018-1613-1,['FUBJAQ'],1,2018,https://link.springer.com/article/10.1007/s00775-018-1613-1,{},"{'8HQ': ['8-hydroxyquinoline'], 'L3': ['3,5-dibromo'], 'L': ['5-bromosalicylaldehyde']}"
10.1007/s10534-019-00204-5,['GAJYEZ'],1,2019,https://link.springer.com/article/10.1007/s10534-019-00204-5,"{'1': '(Z)-N′-(6-oxo-1,10-phenanthrolin-5(6H)-ylidene)isonicotinohydrazide'}","{'1': ['(Z)-N’-(6-oxo-1,10-phenanthrolin-5(6H)-ylidene)isonicotinohydrazide', '(Z)-N′-(6-oxo-1,10-phenanthrolin-5(6H)-ylidene)isonicotinohydrazide'], 'phendio': ['1,10-phenanthroline-5,6-dione']}"
10.1007/s10562-014-1433-z,['KUFTAI'],1,2014,https://link.springer.com/article/10.1007/s10562-014-1433-z,{},{'TCPP': ['tetrakis(4-carboxyphenyl)porphyrin']}
10.1007/s10562-018-2537-7,['EXOKOR02'],1,2018,https://link.springer.com/article/10.1007/s10562-018-2537-7,{'1': '[Co0.42Ni0.40Zn0.68(btc)(H2O)6]'},{}
10.1007/s10563-018-9247-4,"['YOYYUJ', 'YOYZAQ']",2,2018,https://link.springer.com/article/10.1007/s10563-018-9247-4,"{'1': '[Cu2(tpy)2][Sm(H2O)3K(α-HSiW11O39)]Cl·2H2O', '2': '[Cu2(tpy)2][Eu(H2O)3K(α-HSiW11O39)]Cl·2H2O', '3': '[Cu4Cl4(tpy)4(α-SiW12O40)]·2H2O', '–': 'νas(Si–Oa)'}",{'2': ['2-CPE.']}
10.1007/s10593-015-1725-2,['ELUKUT'],1,2015,https://link.springer.com/article/10.1007/s10593-015-1725-2,{},"{'1a': ['6-nitroazolo[1,5-а]-pyrimidines'], 'g': ['6-nitroazolo[1,5-а]-pyrimidines'], '4a': ['2Н-4,5-dihydroazolo[1,5-а]-[1,2,3]triazolo[4,5-е]pyrimidines'], 'b': ['2Н-4,5-dihydroazolo[1,5-а]-[1,2,3]triazolo[4,5-е]pyrimidines']}"
10.1007/s10637-008-9189-1,"['CUGJAQ', 'CUGJEU']",2,2008,https://link.springer.com/article/10.1007/s10637-008-9189-1,{},"{'L': ['3,5-Br2-2-OC6H2CH=NCH(i-Pr)COO']}"
10.1007/s10847-007-9293-4,['VIVPOG'],1,2007,https://link.springer.com/article/10.1007/s10847-007-9293-4,"{'1': 'tert-butylcalix[4]arene', '4': '5,11,17,23-tetrakis-(dipropylphosphinylmethyl)-25,26,27,28-tetrapropoxycalix[4]arene', '5': 'tetrachloromethylcalix[4]arene'}","{'4': ['5,11,17,23-tetrakis-(dipropylphosphinylmethyl)-25,26,27,28-tetrapropoxycalix[4]arene']}"
10.1007/s10847-011-0007-6,"['TALTUX', 'TALVAF', 'TALVEJ']",3,2011,https://link.springer.com/article/10.1007/s10847-011-0007-6,"{'1': '[Zn(L-2H)]n', '2': '{[ZnLCl2](CH3CN)0.5(DMF)0.5(H2O)0.5}n', '3': '{[CdL(DMF)(NO3)2]·DMF}n', '4': '[(HL)(ClO4)]n'}",{}
10.1007/s10847-011-0015-6,"['MEGBAB01', 'TALXIP', 'TALXUB']",3,2011,https://link.springer.com/article/10.1007/s10847-011-0015-6,"{'1': '[Cu(Pbals)(H2O)2]·ClO4·H2O', '2': '[Cu(Pbal)(ClO4)(H2O)]', '3': '[Cu2(Paes)2(ClO4)2]·2H2O', '4a': '[Cu(pae)(DMF)(H2O)]·ClO4'}",{}
10.1007/s10847-011-0016-5,"['TALQUU', 'TALRAB', 'TALREF']",3,2011,https://link.springer.com/article/10.1007/s10847-011-0016-5,"{'2': '[Fe(NCS)2(nbpy4)2]n·2nCHCl3·nH2O·2nEtOH', '3': '[Fe(NCS)2(nbpy4)(bpy)]n·2.5nDCM·0.75nH2O'}","{'pytpy': ['4’-(4-pyridyl)-2,2′:6′'], 'L1': ['(4-py)-CH=N–C10H6–N=CH–(4-py)'], 'L2': ['(2-py)–CH=N–C10H6–N=CH–(2-py)'], 'L3': ['(3-py)–CH=N–C14H12–N=CH–(3-py)'], 'ndcH2': ['2,6-naphthalene']}"
10.1007/s10847-011-0037-0,"['VAWYAV', 'VAWYEZ']",2,2011,https://link.springer.com/article/10.1007/s10847-011-0037-0,"{'1': '{[Ag(L1)]ClO4·CH3CN}n', '2': '{[Ag(L2)]ClO4·CH2Cl2}n', '3': '[Ag2(L2)2](ClO4)2·CH3OH'}",{}
10.1007/s10847-012-0195-8,['PIBMIY'],1,2012,https://link.springer.com/article/10.1007/s10847-012-0195-8,"{'1': '[Ni(L)(tp)2]·2H2O', '2': '[Ni(L)(isoph)2]·2H2O'}","{'pdc2−': ['2,5-pyridinedicarboxylate', '2,6-pyridinedicarboxylate'], 'bhct': ['1,8-bis(2-hydroxyethyl)-1,3,6,8,10,13-hexaazacyclotetradecane'], 'dttd': ['14,4,0'], 'btc3−': ['1,3,5-benzenetricarboxylate'], 'Me4cyclam': ['2,5,9,12-tetramethyl-1,4,8,11-tetraazacyclotetradecane']}"
10.1007/s10847-013-0341-y,"['CIDTUG', 'CIGPEP']",2,2013,https://link.springer.com/article/10.1007/s10847-013-0341-y,"{'1': '[Cu4(H2EGTA)2(H2O)4(HBW12O40)]·18H2O', '2': '[Na3(H2O)6Ca3(H2O)6(HEGTA)2][H2BW12O40]·21H2O'}",{}
10.1007/s10847-015-0478-y,['SUFVAS'],1,2015,https://link.springer.com/article/10.1007/s10847-015-0478-y,"{'2': '[Ag5(en)5(H2O)2][Ag8(en)8(H2O)2(SC4)2][Na(H2O)4][Na6(H2O)16(SC4)2]·50H2O', '1': '(en)0.5[{Ag2(en)2}{Ag4(en)4}2(SC4)2]·17H2O'}",{}
10.1007/s10847-015-0506-y,"['BUQLUW', 'POXLEV01', 'POXLOF01']",3,2015,https://link.springer.com/article/10.1007/s10847-015-0506-y,"{'1': '[Th(btca)(DMF)2(H2O)]', '2': '[Th(bdc)2(DMF)2]', '3': '[Th(bdc2])'}","{'1': ['µ4-btca'], '2': ['µ2-bdc']}"
10.1007/s10847-015-0507-x,"['QUPCOV', 'QUPDIQ']",2,2015,https://link.springer.com/article/10.1007/s10847-015-0507-x,{'L1': '{cis-[(VO)2(L1)2(pyz)]}2·4CHCl3·MeCN'},{}
10.1007/s10847-016-0597-0,['QABRAP'],1,2016,https://link.springer.com/article/10.1007/s10847-016-0597-0,{'1': '[Cu4(pz)6(H2O)2(SiW12O40)]'},{}
10.1007/s10847-019-00890-1,"['HIXZOG', 'HIXZUM']",2,2019,https://link.springer.com/article/10.1007/s10847-019-00890-1,"{'1': '[Mn2(bpba)3(NO3)4]n·nCH3CN·nCH3CH2OCH2CH3', '2': '[Co2(bpba)3(NO3)4]n·nCH3CN·nCH3CH2OCH2CH3'}","{'pcu': ['6-connected'], 'dpa': ['4,4′-dipyridylamine']}"
10.1007/s10847-019-00922-w,"['JOLRUA', 'JOLSAH']",2,2019,https://link.springer.com/article/10.1007/s10847-019-00922-w,"{'1': '2,4,6,8-tetrapropyl-16,34,54,74-tetramethoxyresorcin[4]arene-14,36,56,76-tetrol', '2': '14,36,56,76-Tetraethoxycarbonylmethyleneoxy-16,34,54,74-tetramethoxy-2,4,6,8-tetrapropylresorcin[4]arene', 'L': '14,36,56,76-Tetra-2-oxo-2-(2-hydroxyethylamino)ethoxy-16,34,54,74-tetramethoxy-2,4,6,8-tetrapropylresorcin[4]arene'}","{'1': ['2,4,6,8-tetrapropyl-16,34,54,74-tetramethoxyresorcin[4]arene-14,36,56,76-tetrol'], '2': ['14,36,56,76-Tetraethoxycarbonylmethyleneoxy-16,34,54,74-tetramethoxy-2,4,6,8-tetrapropylresorcin[4]arene'], 'L': ['14,36,56,76-Tetra-2-oxo-2-(2-hydroxyethylamino)ethoxy-16,34,54,74-tetramethoxy-2,4,6,8-tetrapropylresorcin[4]arene']}"
10.1007/s10847-019-00926-6,['JOLTIQ'],1,2019,https://link.springer.com/article/10.1007/s10847-019-00926-6,{},{}
10.1007/s10847-021-01048-8,"['ETIFEV', 'ETIFIZ']",2,2021,https://link.springer.com/article/10.1007/s10847-021-01048-8,"{'1': '[H2N(CH3)2]2[UO2(bpdc)2]', '2': '[pyH]2[UO2(btfac)(NO3)2](NO3)', '3': '[H2dabco][UO2(nta)]2·3H2O', '4': '[Ni(cyclam)UO2(edta)]·2H2O'}","{'bpdc': ['2,2′-bipyridine-3,3′-dicarboxylate'], 'btfac': ['1-phenyl-4,4,4-trifluorobutane-1,3-dionate'], 'dabco': ['1,4-diazabicyclo[2.2.2]octane'], 'cyclam': ['1,4,8,11-tetrazacyclotetradecane']}"
10.1007/s10847-021-01058-6,"['JAJKOY', 'JAJKUE']",2,2021,https://link.springer.com/article/10.1007/s10847-021-01058-6,"{'1': '[(bpba)Zn(CH3COO)2]n', '2': '[(bpba)3Cd2(NO3)4]n·nCH3OH·4nH2O'}",{'bpba': ['bis(4-pyridyl)benzylamine']}
10.1007/s10847-021-01091-5,"['KAPXOS', 'KAPXUY']",2,2021,https://link.springer.com/article/10.1007/s10847-021-01091-5,{},{}
10.1007/s10853-007-2033-8,"['DAJBEW03', 'EHAXUG01', 'QQQAWM02', 'YOFVUL']",4,2007,https://link.springer.com/article/10.1007/s10853-007-2033-8,"{'1': '[Co(C4O4)(H2O)2]', '2': '[Co3(OH)2(C4O4)2]·3H2O', '3': '[Fe2(OH)2(C4O4)]', '4': '[Co2(H2O)6(2,5-pydc)2]·2H2O', '5': 'Cu(2,5-pydc)2'}","{'2': ['μ6-squarate.'], '4': ['[Co2(H2O)6(2,5-pydc)2]·2H2O'], '5': ['Cu(2,5-pydc)2']}"
10.1007/s10853-009-3633-2,"['MULXOH', 'MULXUN']",2,2009,https://link.springer.com/article/10.1007/s10853-009-3633-2,"{'1': 'La(cis-chdc)(DMF)2(NO3)', '2': 'La2(trans-chdc)3(DMSO)4'}","{'DMF': ['N,N′-dimethylformamide']}"
10.1007/s10853-015-8985-1,"['FRCPCA02', 'FRUCCA01']",2,2015,https://link.springer.com/article/10.1007/s10853-015-8985-1,"{'1': '[Ca(C6H12O6)(H2O)2]Cl2', '2': '[Ca(C6H12O6)2(H2O)2]Cl2·H2O'}",{}
10.1007/s10853-017-1575-7,['UFUZAZ'],1,2017,https://link.springer.com/article/10.1007/s10853-017-1575-7,{'1': 'Mn3(MA)(H2O)2(ipa)3'},"{'cis-H6chhc': ['1,2,3,4,5,6-cyclohexanehexacarboxylic']}"
10.1007/s10853-018-2507-x,"['RIKREL', 'RIKRIP']",2,2018,https://link.springer.com/article/10.1007/s10853-018-2507-x,"{'1': 'Ce(O3PC6H5)2', '2': 'Ce(O3PCH2COOH)2·H2O'}",{}
10.1007/s10853-019-03638-x,['KOJFUN'],1,2019,https://link.springer.com/article/10.1007/s10853-019-03638-x,{'1': '{[Cd1.5(DBPT)(DiPyDz)(H2O)]·3.5H2O}n'},{}
10.1007/s10853-020-05211-3,['FAFGEC'],1,2020,https://link.springer.com/article/10.1007/s10853-020-05211-3,{},{}
10.1007/s10870-005-9001-4,['CEPBIJ'],1,2006,https://link.springer.com/article/10.1007/s10870-005-9001-4,{},{}
10.1007/s10870-005-9036-6,['DAJBEW01'],1,2006,https://link.springer.com/article/10.1007/s10870-005-9036-6,{},"{'2,5-PDCH2': ['2,5-pyridinedicarboxylic']}"
10.1007/s10870-005-9047-3,['LEPFOC'],1,2005,https://link.springer.com/article/10.1007/s10870-005-9047-3,{},{'atpt': ['2-aminoterephthalate']}
10.1007/s10870-005-9049-1,['LEPGAP'],1,2006,https://link.springer.com/article/10.1007/s10870-005-9049-1,{'1': '{[AgL](BF4)}∞'},"{'L': ['2,3-bis(5-methyl-1,3,4-thiadiazole-2-thiomethyl)quinoxaline']}"
10.1007/s10870-005-9052-6,['LEPGET'],1,2006,https://link.springer.com/article/10.1007/s10870-005-9052-6,{},{}
10.1007/s10870-005-9063-3,['QEQTOW'],1,2006,https://link.springer.com/article/10.1007/s10870-005-9063-3,{},{}
10.1007/s10870-005-9066-0,['JEPKAR'],1,2006,https://link.springer.com/article/10.1007/s10870-005-9066-0,{'1': '[[Ba(DC18C6-A)(H2O)][Pt(SCN)4]]n'},{'DC18C6-A': ['cis-syn-cis-dicyclohexyl-18-crown-6']}
10.1007/s10870-006-9096-2,['XEQTAP'],1,2006,https://link.springer.com/article/10.1007/s10870-006-9096-2,"{'1': '{[Ni(cyclen)·(bipy)]·(ClO4)2}n', '2': '[Ni(cyclen)]2·(squa)·(ClO4)2'}","{'cyclen': ['1,4,7,10-tetraazadodecane']}"
10.1007/s10870-006-9109-1,['GEQBAG'],1,2006,https://link.springer.com/article/10.1007/s10870-006-9109-1,{'1': '(C3H5N2)2[Cd(C3H4N2)2Nb2O3F8]·2H2O'},{}
10.1007/s10870-006-9110-8,['GEQCOV'],1,2006,https://link.springer.com/article/10.1007/s10870-006-9110-8,{'1': 'C18H28HgI2N2O4S2(854.93)'},{}
10.1007/s10870-006-9117-1,['GEQCIP'],1,2006,https://link.springer.com/article/10.1007/s10870-006-9117-1,{'1': '[HgI2(dps)]n'},"{'dps': ['4,4′-dipyridylsulfide']}"
10.1007/s10870-006-9138-9,['SEQFOK'],1,2006,https://link.springer.com/article/10.1007/s10870-006-9138-9,"{'B': '[Co(NO3)2(PymNH2)2(OH2)]', 'A': '[CoCl2(PymNH2)]'}",{}
10.1007/s10870-006-9143-z,['QEXHAD'],1,2006,https://link.springer.com/article/10.1007/s10870-006-9143-z,{},{}
10.1007/s10870-006-9146-9,['VEVNOA'],1,2006,https://link.springer.com/article/10.1007/s10870-006-9146-9,{},{}
10.1007/s10870-006-9152-y,['YEVVUR'],1,2006,https://link.springer.com/article/10.1007/s10870-006-9152-y,{},"{'btapo': ['benzotria-', '1,3-bis(benzotriazol-1-yl)'], 'tfpbd': ['4,4,4-trifluoro-1-phenyl-1,3-butanedione']}"
10.1007/s10870-006-9154-9,['WEWXEC'],1,2006,https://link.springer.com/article/10.1007/s10870-006-9154-9,{},{}
10.1007/s10870-006-9155-8,"['MILKUN01', 'VUZTUF01']",2,2006,https://link.springer.com/article/10.1007/s10870-006-9155-8,{},{}
10.1007/s10870-007-9182-0,"['DEYYEM', 'DEYYIQ', 'DEYYOW']",3,2007,https://link.springer.com/article/10.1007/s10870-007-9182-0,{'1': '[Cu2Cl4(bpdo)3(H2O)2].2(CH3)2SO'},"{'L': ['2,6-bis[N-(2-pyridylethyl)formimi-doyl]-4-methyl-phenolato'], 'bpy': ['4,4′-bipyridine'], 'bpdo])L': ['3,5-pyrazoledicarboxylic']}"
10.1007/s10870-007-9203-z,['VIHHEA'],1,2007,https://link.springer.com/article/10.1007/s10870-007-9203-z,{},{}
10.1007/s10870-007-9204-y,['VIHHIE'],1,2007,https://link.springer.com/article/10.1007/s10870-007-9204-y,{'1': '[Li(THF)4]Cu2Br4'},{}
10.1007/s10870-007-9214-9,"['HIGKAK', 'HIGKEO']",2,2007,https://link.springer.com/article/10.1007/s10870-007-9214-9,"{'1': '[Cu(CBC)2(Dabco)(H2O)]n', '2': '1,4-diazabicyclo[2.2.2]octane'}","{'2': ['1,4-diazabicyclo[2.2.2]octane']}"
10.1007/s10870-007-9224-7,['WIMFEE'],1,2007,https://link.springer.com/article/10.1007/s10870-007-9224-7,{},"{'1': ['1,4-di-(3′-acetylacetonato)benzene']}"
10.1007/s10870-007-9236-3,['LIQBAP'],1,2007,https://link.springer.com/article/10.1007/s10870-007-9236-3,{},{}
10.1007/s10870-007-9244-3,"['LEPKUN01', 'TIRLEM', 'TIRLIQ']",3,2007,https://link.springer.com/article/10.1007/s10870-007-9244-3,"{'1': '[Mn3(TDC)4(H2O)4](2,6-lutidine)2(H2O)3', '2': '[Zn3(1,4-BDC)3(EtOH)2]', '3': '[Zn3(1,3-BDC)3(py)2](MeOH)'}","{'1': ['[Mn3(TDC)4(H2O)4](2,6-lutidine)2(H2O)3'], '2': ['[Zn3(1,4-BDC)3(EtOH)2]'], '3': ['[Zn3(1,3-BDC)3(py)2](MeOH)'], 'TDC': ['2,5-thiophenedicarboxylate', '2,5-thiophenedicarboxylic']}"
10.1007/s10870-007-9249-y,['VITLAM'],1,2007,https://link.springer.com/article/10.1007/s10870-007-9249-y,{'1': '{[Ag(L)(CH3CN)](ClO4)}n'},"{'L': ['5,6-dicyano-2,3-di(2-pyridyl)pyrazine']}"
10.1007/s10870-007-9265-y,['RIVDUW'],1,2007,https://link.springer.com/article/10.1007/s10870-007-9265-y,{'1': '[Cd(phba)2(bim)(H2O)2]n'},"{'phba': ['4-hydroxybenzoate'], 'bim': ['1,2-bis(imidazol-1-yl)ethane']}"
10.1007/s10870-007-9276-8,['REKSIK01'],1,2008,https://link.springer.com/article/10.1007/s10870-007-9276-8,{},"{'bte': ['1,2-bis(triazol-1-yl)ethane']}"
10.1007/s10870-007-9280-z,['CIWKAV'],1,2007,https://link.springer.com/article/10.1007/s10870-007-9280-z,{'1': '{[Cu(μ-paba)](ClO4)·H2O}n'},"{'Hpaba': ['2-pyridylmethylamino-3-butyric'], 'Hpapa': ['2-(pyridylmethyl)amino-3-propionic'], 'Hpmva': ['bis(2-pyridylmethyl)amino-5-valeric'], 'Hpmca': ['bis(2-pyridylmethyl)amino-6-caproic']}"
10.1007/s10870-007-9293-7,['VIYPUP'],1,2007,https://link.springer.com/article/10.1007/s10870-007-9293-7,{'1': '[Cd(pzdc)(bpy)]n'},"{'pzdc': ['pyrazine-2,3-dicarboxylic'], 'bpy': ['2,2′-bipyridine', '2,2′-Bipyridine'], 'H2pzdc': ['Pyrazine-2,3-dicarboxylic']}"
10.1007/s10870-008-9321-2,['TEVQUH01'],1,2008,https://link.springer.com/article/10.1007/s10870-008-9321-2,{'1': 'Ni(pca)2(H2O)'},"{'pca': ['2-pyrazinecarboxylate'], 'pcaH': ['2-pyrazinecarboxcylic']}"
10.1007/s10870-008-9323-0,['HOBVOK'],1,2008,https://link.springer.com/article/10.1007/s10870-008-9323-0,{},{'ampym': ['2-aminopyrimidine']}
10.1007/s10870-008-9332-z,['HOBWAX'],1,2008,https://link.springer.com/article/10.1007/s10870-008-9332-z,{},"{'1': ['Diaza-18-crown-6', '4,13-diaza-18-crown-6']}"
