doi,refcodes,count,year,urls,url,flags,name_dicts,compound_dicts
10.1016/j.jssc.2012.07.018,"['CEJBEA', 'CEJBIE', 'CEJBOK', 'CEJBUQ', 'CEJCAX']",5,2012,https://api.elsevier.com/content/article/pii/S0022459612004525,https://www.sciencedirect.com/science/article/pii/S0022459612004525,1,"{'1': '{[Dy3(1,3-BDC)4(NO3)(phen)3]·2H2O}n', '2': '{[Dy2(1,3-BDC)3(H2O)2]·H2O}n', '3': '{[Tb4(1,3-BDC)6(DMF)(H2O)4]·DMF·2H2O}n', '5': '{[Er4(1,3-BDC)6(DMF)(H2O)4]·DMF·2H2O}n', '(4)': '{[Ho4(1,3-BDC)6(DMF)(H2O)4]·DMF·2H2O}n', '4': '{[Ho4(1,3-BDC)6(DMF)(H2O)4]·DMF·2H2O}n'}","{'1': ['{[Dy3(1,3-BDC)4(NO3)(phen)3]·2H2O}n'], '2': ['{[Dy2(1,3-BDC)3(H2O)2]·H2O}n'], '3': ['{[Tb4(1,3-BDC)6(DMF)(H2O)4]·DMF·2H2O}n'], '4': ['{[Ho4(1,3-BDC)6(DMF)(H2O)4]·DMF·2H2O}n'], '5': ['{[Er4(1,3-BDC)6(DMF)(H2O)4]·DMF·2H2O}n'], '(4)': ['{[Ho4(1,3-BDC)6(DMF)(H2O)4]·DMF·2H2O}n'], '1,3-H2BDC': ['1,3-benzenedicarboxylate'], 'phen': ['1,10-phenanthroline']}"
10.1016/j.inoche.2017.01.015,['RAGMOE'],1,2017,https://api.elsevier.com/content/article/pii/S1387700316306050,https://www.sciencedirect.com/science/article/pii/S1387700316306050,1,{},{}
10.1016/j.apcatb.2016.05.072,['UNAMAZ'],1,2016,https://api.elsevier.com/content/article/pii/S0926337316304295,https://www.sciencedirect.com/science/article/pii/S0926337316304295,1,{'1': '[Ni9(Hmna)2(mna)8(H2O)10]·(H2O)11'},{}
10.1016/j.inoche.2009.10.006,"['OPANOJ', 'OPANUP']",2,2010,https://api.elsevier.com/content/article/pii/S1387700309004626,https://www.sciencedirect.com/science/article/pii/S1387700309004626,1,"{'1': '[Cd(μ-3-BPMFA)2Br2]n·nMeOH', '2': '[Cd(3-BPMFA)(μ-Br)2]n'}","{'1': ['[Cd(μ-3-BPMFA)2Br2]n·nMeOH'], '2': ['[Cd(3-BPMFA)(μ-Br)2]n']}"
10.1016/j.inoche.2008.04.019,"['WOFROZ', 'WOFRUF']",2,2008,https://api.elsevier.com/content/article/pii/S1387700308001731,https://www.sciencedirect.com/science/article/pii/S1387700308001731,1,{'1': '[Sr(HSIP)(H2O)]n'},{}
10.1016/j.inoche.2004.03.016,"['IYAGOE', 'IYAGUK']",2,2004,https://api.elsevier.com/content/article/pii/S1387700304000930,https://www.sciencedirect.com/science/article/pii/S1387700304000930,1,"{'1': 'Co(tmeda)(dca)2', '2': 'Ni(tmeda)(dca)2'}",{}
10.1016/j.ica.2016.01.014,['XAJSEJ'],1,2016,https://api.elsevier.com/content/article/pii/S0020169316000256,https://www.sciencedirect.com/science/article/pii/S0020169316000256,1,{'1': '[InL][(CH3)2NH2]'},{}
10.1016/j.synthmet.2004.09.035,['FEDHIG'],1,2005,https://api.elsevier.com/content/article/pii/S0379677904004692,https://www.sciencedirect.com/science/article/pii/S0379677904004692,1,{'1': '(ET)2[(NMe3Ph)NaCr(dto)3(MeCN)]'},{}
10.1016/j.solidstatesciences.2010.05.018,"['KADHAA', 'KADHEE']",2,2010,https://api.elsevier.com/content/article/pii/S1293255810002207,https://www.sciencedirect.com/science/article/pii/S1293255810002207,1,"{'1': 'Cd2(bipy)2(H2O)2(cam)2', '2': 'Cd2(phen)2(cam)2·eg'}",{}
10.1016/j.cplett.2005.09.074,"['MAZGOK', 'MAZGUQ', 'MAZHAX']",3,2005,https://api.elsevier.com/content/article/pii/S000926140501417X,https://www.sciencedirect.com/science/article/pii/S000926140501417X,1,"{'1': 'Co(L)2(SCN)2', '2': 'Mn(L)2(SCN)2', '3': 'Cd(H4L)2Cl2'}",{}
